25	0.678
30	0.678
35	0.678
40	0.677
45	0.674
50	0.677
55	0.677
60	0.678
65	0.677
70	0.677
75	0.676
80	0.678
85	0.678
90	0.678
95	0.676
100	0.677
105	0.678
110	0.677
115	0.677
120	0.677
125	0.676
130	0.674
135	0.675
140	0.675
145	0.673
150	0.671
155	0.669
160	0.667
161	0.66
162	0.665
163	0.663
164	0.662
165	0.662
166	0.662
167	0.663
168	0.661
169	0.66
170	0.658
171	0.66
172	0.656
174	0.655
175	0.654
176	0.652
177	0.652
178	0.649
179	0.648
180	0.646
181	0.643
182	0.64
183	0.631
184	0.634
185	0.631
186	0.628
187	0.624
188	0.62
189	0.615
190	0.61
191	0.602
192	0.594
193	0.584
194	0.564
195	0.556
196	0.538
197	0.516
198	0.481
199	0.423
200	0.409
201	0.365
202	0.322
203	0.281
204	0.238
205	0.183
205	0.206
206	0.177
207	0.148
208	0.123
209	0.093
209	0.104
210	0.087
211	0.075
212	0.064
213	0.056
214	0.047
215	0.044
216	0.044
217	0.041
218	0.038
221	0.035
221	0.036
222	0.035
